player,position,team,age,birth_year,games,games_starts,games_complete,games_subs,unused_subs,minutes,minutes_per_game,minutes_pct,minutes_90s,minutes_per_start,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,plus_minus_wowy,xg_plus_minus_wowy,minutes_per_sub
Salem Al-Dawsari,MF,Saudi Arabia,31,1991,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.0,3.0,5.0,-2.0,-0.67,3.0,6.0,-3.0,-1.01,,,
Salem Al-Hajri,MF,Qatar,26,1996,0,0,0,0,3,,,,,,,,,,,,,,,,,
Salis Abdul Samed,MF,Ghana,22,2000,3,3,1,0,0,250.0,83.0,92.6,2.8,83.0,1.0,5.0,7.0,-2.0,-0.72,3.5,5.3,-1.8,-0.66,-0.72,-2.41,
Salman Al-Faraj,MF,Saudi Arabia,33,1989,1,1,0,0,0,44.0,44.0,16.3,0.5,44.0,3.0,0.0,1.0,-1.0,-2.05,0.0,1.0,-1.0,-2.09,-1.65,-1.29,
Sam Adekugbe,DF,Canada,27,1995,3,1,0,2,0,95.0,32.0,35.2,1.1,59.0,0.0,1.0,3.0,-2.0,-1.89,1.0,1.7,-0.8,-0.74,-0.35,-1.31,18.0
Saman Ghoddos,MF,IR Iran,29,1993,1,0,0,1,2,45.0,45.0,16.7,0.5,,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.1,0.21,1.2,0.63,45.0
Sami Al-Najei,MF,Saudi Arabia,25,1997,1,1,0,0,2,45.0,45.0,16.7,0.5,45.0,0.0,0.0,1.0,-1.0,-2.0,0.9,0.3,0.6,1.24,-1.6,2.69,
Samuel Oum Gouet,MF,Cameroon,25,1997,2,1,1,1,1,100.0,50.0,37.0,1.1,90.0,0.5,0.0,1.0,-1.0,-0.9,0.8,1.6,-0.8,-0.71,-1.43,0.12,10.0
Samuel Piette,MF,Canada,28,1994,0,0,0,0,3,,,,,,,,,,,,,,,,,
Sardar Azmoun,FW,IR Iran,27,1995,3,2,0,1,0,126.0,42.0,46.7,1.4,56.0,1.0,1.0,2.0,-1.0,-0.71,1.7,2.2,-0.5,-0.37,0.54,-0.1,14.0
Saud Abdulhamid,DF,Saudi Arabia,23,1999,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.0,3.0,5.0,-2.0,-0.67,3.0,6.0,-3.0,-1.01,,,
Saša Lukič,MF,Serbia,26,1996,3,3,2,0,0,245.0,82.0,90.7,2.7,82.0,0.33,5.0,7.0,-2.0,-0.73,3.2,6.8,-3.6,-1.33,2.87,-0.15,
Sean Johnson,GK,United States,33,1989,0,0,0,0,4,,,,,,,,,,,,,,,,,
Sebastian Szymański,MF,Poland,23,1999,2,2,0,0,2,134.0,67.0,37.2,1.5,67.0,0.5,0.0,1.0,-1.0,-0.67,1.6,1.7,-0.2,-0.12,-0.27,0.9,
Sebastián Coates,DF,Uruguay,32,1990,2,2,2,0,1,180.0,90.0,66.7,2.0,90.0,1.5,2.0,2.0,0.0,0.0,3.1,2.9,0.2,0.1,0.0,0.14,
Sebastián Sosa,GK,Uruguay,36,1986,0,0,0,0,3,,,,,,,,,,,,,,,,,
Seifeddine Jaziri,FW,Tunisia,29,1993,0,0,0,0,3,,,,,,,,,,,,,,,,,
Selim Amallah,MF,Morocco,26,1996,7,4,1,3,0,409.0,58.0,62.0,4.5,75.0,1.57,1.0,0.0,1.0,0.22,2.2,4.4,-2.2,-0.48,0.22,-0.98,36.0
Seny Dieng,GK,Senegal,28,1994,0,0,0,0,4,,,,,,,,,,,,,,,,,
Serge Gnabry,FW,Germany,27,1995,3,3,1,0,0,263.0,88.0,97.4,2.9,88.0,1.33,6.0,5.0,1.0,0.34,9.8,3.4,6.4,2.19,0.34,-1.25,
Sergej Milinkovič-Savič,MF,Serbia,27,1995,3,3,1,0,0,233.0,78.0,86.3,2.6,78.0,0.33,5.0,8.0,-3.0,-1.16,3.1,7.0,-3.9,-1.51,-1.16,-1.42,
Sergio Busquets,MF,Spain,34,1988,4,4,3,0,0,363.0,91.0,93.1,4.0,91.0,1.25,6.0,3.0,3.0,0.74,5.3,3.4,1.9,0.52,-9.26,-0.75,
Sergio Rochet,GK,Uruguay,29,1993,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,2.0,2.0,0.0,0.0,3.7,3.5,0.1,0.05,,,
Sergiño Dest,DF,United States,22,2000,4,4,0,0,0,305.0,76.0,84.7,3.4,76.0,1.25,2.0,2.0,0.0,0.0,3.4,2.2,1.2,0.34,1.64,2.71,
Shaquell Moore,DF,United States,26,1996,2,0,0,2,2,22.0,11.0,6.1,0.2,,2.0,0.0,0.0,0.0,0.0,0.1,0.5,-0.3,-1.39,0.27,-1.4,11.0
Shogo Taniguchi,DF,Japan,31,1991,2,2,2,0,2,210.0,105.0,53.8,2.3,105.0,2.0,3.0,2.0,1.0,0.43,2.7,2.5,0.2,0.09,0.43,0.45,
Shoja' Khalilzadeh,DF,IR Iran,33,1989,0,0,0,0,3,,,,,,,,,,,,,,,,,
Shuto Machino,FW,Japan,23,1999,0,0,0,0,4,,,,,,,,,,,,,,,,,
Shūichi Gonda,GK,Japan,33,1989,4,4,4,0,0,390.0,98.0,100.0,4.3,98.0,1.75,5.0,4.0,1.0,0.23,5.0,5.7,-0.7,-0.17,,-0.17,
Silvan Widmer,DF,Switzerland,29,1993,3,3,2,0,0,265.0,88.0,73.6,2.9,88.0,2.0,4.0,3.0,1.0,0.34,4.4,2.8,1.6,0.55,5.08,1.79,
Simon Kjær,DF,Denmark,33,1989,1,1,0,0,2,64.0,64.0,23.7,0.7,64.0,1.0,0.0,0.0,0.0,0.0,0.3,0.9,-0.5,-0.77,0.87,-0.49,
Simon Mignolet,GK,Belgium,34,1988,0,0,0,0,3,,,,,,,,,,,,,,,,,
Simon Ngapandouetnbu,GK,Cameroon,19,2003,0,0,0,0,3,,,,,,,,,,,,,,,,,
Sofiane Boufal,FW,Morocco,29,1993,7,7,0,0,0,475.0,68.0,72.0,5.3,68.0,1.57,4.0,4.0,0.0,0.0,3.3,4.4,-1.1,-0.21,-0.49,-0.35,
Sofyan Amrabat,MF,Morocco,26,1996,7,7,7,0,0,660.0,94.0,100.0,7.3,94.0,1.57,6.0,5.0,1.0,0.14,6.6,7.4,-0.8,-0.12,,-0.12,
Son Heung-min,FW,Korea Republic,30,1992,4,4,4,0,0,360.0,90.0,100.0,4.0,90.0,1.0,5.0,8.0,-3.0,-0.75,4.6,7.1,-2.5,-0.63,,,
Son Jun-ho,MF,Korea Republic,30,1992,3,0,0,3,1,72.0,24.0,20.0,0.8,,1.33,2.0,0.0,2.0,2.5,1.0,1.0,0.0,0.04,4.06,0.83,24.0
Song Bumkeun,GK,Korea Republic,25,1997,0,0,0,0,4,,,,,,,,,,,,,,,,,
Song Minkyu,FW,Korea Republic,23,1999,0,0,0,0,4,,,,,,,,,,,,,,,,,
Sorba Thomas,MF,Wales,23,1999,1,0,0,1,2,1.0,1.0,0.4,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.63,1.0
SrÄđan Babič,DF,Serbia,26,1996,1,0,0,1,2,13.0,13.0,4.8,0.1,,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.57,1.05,1.98,13.0
Stefan Mitrovič,DF,Serbia,32,1990,1,0,0,1,2,35.0,35.0,13.0,0.4,,1.0,0.0,2.0,-2.0,-5.14,0.5,1.0,-0.6,-1.43,-4.76,-0.13,35.0
Stefan de Vrij,DF,Netherlands,30,1992,0,0,0,0,5,,,,,,,,,,,,,,,,,
Stephen Eustáquio,MF,Canada,25,1996,2,2,0,0,1,125.0,63.0,46.3,1.4,63.0,0.0,1.0,3.0,-2.0,-1.44,2.4,1.4,1.0,0.71,0.42,1.11,
Steve Mandanda,GK,France,37,1985,1,1,1,0,6,90.0,90.0,13.6,1.0,90.0,0.0,0.0,1.0,-1.0,-1.0,0.8,0.5,0.3,0.3,-2.42,-0.24,
Steven Berghuis,MF,Netherlands,30,1991,4,1,0,3,1,200.0,50.0,41.7,2.2,78.0,2.0,2.0,1.0,1.0,0.45,0.8,2.0,-1.2,-0.66,-1.16,-0.59,41.0
Steven Bergwijn,FW,Netherlands,25,1997,4,3,0,1,1,213.0,53.0,44.4,2.4,56.0,2.0,2.0,2.0,0.0,0.0,1.8,2.5,-0.7,-0.3,-2.02,-0.05,45.0
Steven Vitória,DF,Canada,35,1987,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,0.0,2.0,7.0,-5.0,-1.67,4.2,3.9,0.3,0.11,,,
Strahinja Erakovič,DF,Serbia,21,2001,0,0,0,0,3,,,,,,,,,,,,,,,,,
Strahinja Pavlovič,DF,Serbia,21,2001,3,3,2,0,0,235.0,78.0,87.0,2.6,78.0,0.33,5.0,6.0,-1.0,-0.38,2.9,6.3,-3.4,-1.3,4.76,0.13,
Sultan Al-Ghanam,DF,Saudi Arabia,28,1994,3,1,0,2,0,126.0,42.0,46.7,1.4,87.0,1.0,0.0,3.0,-3.0,-2.14,0.8,3.4,-2.6,-1.88,-2.77,-1.63,20.0
Szymon ÅŻurkowski,MF,Poland,25,1997,0,0,0,0,4,,,,,,,,,,,,,,,,,
Taha Yassine Khenissi,FW,Tunisia,30,1992,2,0,0,2,1,29.0,15.0,10.7,0.3,,0.5,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.59,0.0,0.85,15.0
Tajon Buchanan,MF,Canada,23,1999,3,3,2,0,0,260.0,87.0,96.3,2.9,87.0,0.0,2.0,7.0,-5.0,-1.73,4.1,3.7,0.4,0.14,-1.73,0.91,
Takefusa Kubo,FW,Japan,21,2001,2,2,0,0,1,90.0,45.0,23.1,1.0,45.0,3.0,0.0,2.0,-2.0,-2.0,0.2,2.4,-2.2,-2.16,-2.9,-2.61,
Takehiro Tomiyasu,DF,Japan,24,1998,3,1,1,2,1,187.0,62.0,47.9,2.1,120.0,2.33,3.0,1.0,2.0,0.96,2.9,3.2,-0.3,-0.17,1.41,-0.02,34.0
Takuma Asano,FW,Japan,28,1994,4,0,0,4,0,165.0,41.0,42.3,1.8,,1.75,2.0,1.0,1.0,0.55,2.7,2.3,0.4,0.26,0.55,0.63,41.0
Takumi Minamino,FW,Japan,27,1995,3,0,0,3,1,60.0,20.0,15.4,0.7,,1.33,2.0,0.0,2.0,3.0,0.9,0.8,0.1,0.3,3.27,0.49,20.0
Tarek Salman,DF,Qatar,25,1997,1,0,0,1,2,8.0,8.0,3.0,0.1,,0.0,0.0,1.0,-1.0,-11.25,0.2,0.2,0.0,-0.5,-9.53,0.22,8.0
Tariq Lamptey,DF,Ghana,22,2000,2,1,0,1,1,102.0,51.0,37.8,1.1,77.0,1.5,5.0,4.0,1.0,0.88,2.5,1.9,0.6,0.52,2.49,1.6,25.0
Teun Koopmeiners,MF,Netherlands,24,1998,5,1,0,4,0,219.0,44.0,45.6,2.4,78.0,2.2,6.0,3.0,3.0,1.23,2.1,4.2,-2.1,-0.99,0.2,-1.17,35.0
Theo Hernández,DF,France,25,1997,6,5,4,1,1,508.0,85.0,77.0,5.6,86.0,2.67,13.0,5.0,8.0,1.42,10.9,7.7,3.2,0.56,1.42,0.25,78.0
Thiago Almada,MF,Argentina,21,2001,1,0,0,1,6,7.0,7.0,1.0,0.1,,3.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,6.09,-0.92,4.76,7.0
Thiago Silva,DF,Brazil,38,1984,4,4,4,0,1,390.0,98.0,81.3,4.3,98.0,2.5,8.0,2.0,6.0,1.38,9.5,1.6,7.9,1.98,2.38,0.49,
Thibaut Courtois,GK,Belgium,30,1992,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,1.0,2.0,-1.0,-0.33,4.7,4.6,0.2,0.05,,,
Thilo Kehrer,DF,Germany,26,1996,1,1,0,0,2,69.0,69.0,25.6,0.8,69.0,1.0,0.0,1.0,-1.0,-1.3,0.3,0.6,-0.4,-0.46,-2.2,-3.6,
Thomas Delaney,MF,Denmark,31,1991,1,1,0,0,0,44.0,44.0,16.3,0.5,44.0,1.0,0.0,0.0,0.0,0.0,0.2,0.7,-0.5,-1.1,0.8,-0.85,
Thomas Deng,DF,Australia,25,1997,0,0,0,0,4,,,,,,,,,,,,,,,,,
Thomas Meunier,DF,Belgium,31,1991,3,2,0,1,0,211.0,70.0,78.1,2.3,83.0,1.33,0.0,1.0,-1.0,-0.43,3.8,2.2,1.6,0.69,-0.43,2.9,45.0
Thomas Müller,FW,Germany,33,1989,3,3,0,0,0,201.0,67.0,74.4,2.2,67.0,1.33,2.0,2.0,0.0,0.0,4.5,1.8,2.7,1.24,-1.3,-3.79,
Thomas Partey,MF,Ghana,29,1993,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.0,5.0,7.0,-2.0,-0.67,4.1,5.6,-1.4,-0.48,,,
Thorgan Hazard,FW,Belgium,29,1993,2,1,0,1,1,106.0,53.0,39.3,1.2,74.0,0.5,0.0,1.0,-1.0,-0.85,2.9,1.2,1.7,1.45,-0.85,2.31,32.0
Tim Ream,DF,United States,35,1987,4,4,4,0,0,360.0,90.0,100.0,4.0,90.0,1.25,3.0,4.0,-1.0,-0.25,4.1,4.4,-0.3,-0.07,,,
Timothy Castagne,DF,Belgium,27,1995,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,1.0,2.0,-1.0,-0.33,4.7,4.6,0.2,0.05,,,
Timothy Weah,FW,United States,22,2000,4,4,0,0,0,316.0,79.0,87.8,3.5,79.0,1.25,2.0,3.0,-1.0,-0.28,3.4,2.6,0.8,0.23,-0.28,2.51,
Toby Alderweireld,DF,Belgium,33,1989,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,1.0,2.0,-1.0,-0.33,4.7,4.6,0.2,0.05,,,
Tom Lockyer,DF,Wales,28,1994,0,0,0,0,3,,,,,,,,,,,,,,,,,
Trent Alexander-Arnold,DF,England,24,1998,1,0,0,1,4,34.0,34.0,7.6,0.4,,3.0,1.0,0.0,1.0,2.65,1.2,0.2,1.0,2.58,0.92,1.8,34.0
Tyler Adams,MF,United States,23,1999,4,4,4,0,0,360.0,90.0,100.0,4.0,90.0,1.25,3.0,4.0,-1.0,-0.25,4.1,4.4,-0.3,-0.07,,,
Tyrell Malacia,DF,Netherlands,23,1999,0,0,0,0,5,,,,,,,,,,,,,,,,,
Unai Simón,GK,Spain,25,1997,4,4,4,0,0,390.0,98.0,100.0,4.3,98.0,1.25,9.0,3.0,6.0,1.38,6.2,3.4,2.7,0.68,,0.68,
Uriel Antuna,FW,Mexico,25,1997,3,0,0,3,0,77.0,26.0,28.5,0.9,,1.33,2.0,2.0,0.0,0.0,1.4,1.1,0.2,0.29,0.47,-0.02,26.0
Uroš Račič,MF,Serbia,24,1998,0,0,0,0,3,,,,,,,,,,,,,,,,,
Vahid Amiri,FW,IR Iran,34,1988,0,0,0,0,3,,,,,,,,,,,,,,,,,
Vanja Milinkovič-Savič,GK,Serbia,25,1997,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,0.33,5.0,8.0,-3.0,-1.0,3.4,7.3,-3.9,-1.32,,,
Victor Nelsson,DF,Denmark,24,1998,1,1,1,0,2,90.0,90.0,33.3,1.0,90.0,0.0,1.0,2.0,-1.0,-1.0,0.6,2.4,-1.8,-1.76,-0.5,-2.04,
Vincent Aboubakar,FW,Cameroon,30,1992,3,1,0,2,0,142.0,47.0,52.6,1.6,89.0,1.33,3.0,0.0,3.0,1.9,1.5,2.4,-0.9,-0.55,4.01,0.49,27.0
Vincent Janssen,FW,Netherlands,28,1994,2,1,0,1,3,86.0,43.0,17.9,1.0,61.0,3.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.02,-1.37,0.36,25.0
Vinicius Júnior,FW,Brazil,22,2000,4,4,1,0,1,299.0,75.0,62.3,3.3,75.0,2.5,7.0,0.0,7.0,2.11,6.9,1.1,5.7,1.73,3.1,-0.35,
Virgil van Dijk,DF,Netherlands,31,1991,5,5,5,0,0,480.0,96.0,100.0,5.3,96.0,2.2,10.0,4.0,6.0,1.13,4.6,6.1,-1.5,-0.29,,-0.29,
Vitinha,MF,Portugal,22,2000,3,1,0,2,2,120.0,40.0,26.7,1.3,81.0,1.0,2.0,1.0,1.0,0.75,1.8,1.7,0.0,0.03,-0.61,-0.3,20.0
Wahbi Khazri,FW,Tunisia,31,1991,2,1,0,1,1,83.0,42.0,30.7,0.9,59.0,1.5,1.0,0.0,1.0,1.08,1.0,0.2,0.7,0.81,1.57,1.41,24.0
Wajdi Kechrida,DF,Tunisia,27,1995,3,1,1,2,0,111.0,37.0,41.1,1.2,90.0,1.33,1.0,0.0,1.0,0.81,0.9,1.0,-0.1,-0.09,1.38,0.13,11.0
Walid Cheddira,FW,Morocco,24,1998,2,0,0,2,4,64.0,32.0,9.7,0.7,,2.0,0.0,0.0,0.0,0.0,0.5,0.9,-0.4,-1.12,-0.15,-1.06,32.0
Walker Zimmerman,DF,United States,29,1993,4,3,3,1,0,279.0,70.0,77.5,3.1,90.0,1.25,2.0,4.0,-2.0,-0.65,3.0,4.1,-1.1,-0.37,-1.76,-1.3,9.0
Wataru Endo,MF,Japan,29,1993,4,3,3,1,0,304.0,76.0,77.9,3.4,100.0,1.75,3.0,3.0,0.0,0.0,3.5,4.8,-1.3,-0.43,-1.05,-0.92,4.0
Wayne Hennessey,GK,Wales,35,1987,2,2,1,0,0,175.0,88.0,64.8,1.9,88.0,0.5,1.0,1.0,0.0,0.0,2.3,1.7,0.6,0.3,4.74,2.62,
Weston McKennie,MF,United States,24,1998,4,4,0,0,0,271.0,68.0,75.3,3.0,68.0,1.25,2.0,2.0,0.0,0.0,3.2,1.8,1.4,0.46,1.01,2.17,
William Carvalho,MF,Portugal,30,1992,4,2,1,2,1,215.0,54.0,47.8,2.4,86.0,2.25,10.0,4.0,6.0,2.51,4.0,4.0,-0.1,-0.02,2.51,-0.53,22.0
William Pacho,DF,Ecuador,21,2001,0,0,0,0,3,,,,,,,,,,,,,,,,,
William Saliba,DF,France,21,2001,1,0,0,1,6,28.0,28.0,4.2,0.3,,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,1.93,-1.14,1.49,28.0
Wojciech SzczÄęsny,GK,Poland,32,1990,4,4,4,0,0,360.0,90.0,100.0,4.0,90.0,1.0,3.0,5.0,-2.0,-0.5,4.5,7.3,-2.7,-0.69,,,
Wout Faes,DF,Belgium,24,1998,0,0,0,0,3,,,,,,,,,,,,,,,,,
Wout Weghorst,FW,Netherlands,30,1992,4,0,0,4,1,64.0,16.0,13.3,0.7,,2.0,2.0,0.0,2.0,2.81,0.5,0.6,-0.1,-0.4,1.95,-0.13,16.0
Wéverton,GK,Brazil,35,1987,1,0,0,1,4,11.0,11.0,2.3,0.1,,3.0,0.0,0.0,0.0,0.0,0.3,0.1,0.2,1.71,-0.96,-0.16,11.0
Xavi Simons,FW,Netherlands,19,2003,1,0,0,1,4,9.0,9.0,1.9,0.1,,3.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,-2.0,-1.15,-1.75,9.0
Xavier Arreaga,DF,Ecuador,28,1994,0,0,0,0,3,,,,,,,,,,,,,,,,,
Xherdan Shaqiri,FW,Switzerland,31,1991,3,3,1,0,1,229.0,76.0,63.6,2.5,76.0,2.0,5.0,8.0,-3.0,-1.18,4.8,4.2,0.7,0.27,-0.49,0.52,
Yahya Attiat Allah,DF,Morocco,27,1995,6,2,2,4,1,318.0,53.0,48.2,3.5,90.0,1.33,4.0,3.0,1.0,0.28,5.1,3.2,1.9,0.6,0.28,1.27,35.0
Yahya Jabrane,MF,Morocco,31,1991,2,0,0,2,5,15.0,8.0,2.3,0.2,,3.0,0.0,0.0,0.0,0.0,,,,,-0.14,,8.0
Yann Sommer,GK,Switzerland,34,1988,3,3,3,0,0,270.0,90.0,75.0,3.0,90.0,1.0,2.0,7.0,-5.0,-1.67,3.0,4.0,-1.1,-0.35,-2.67,-1.73,
Yannick Carrasco,FW,Belgium,29,1993,2,2,0,0,1,116.0,58.0,43.0,1.3,58.0,2.0,1.0,0.0,1.0,0.78,2.4,2.5,-0.1,-0.06,1.94,-0.2,
Yasser Al-Shahrani,DF,Saudi Arabia,30,1992,1,1,0,0,0,89.0,89.0,33.0,1.0,89.0,3.0,2.0,1.0,1.0,1.01,0.1,2.1,-2.0,-2.0,2.5,-1.48,
Yassine Bounou,GK,Morocco,31,1991,6,6,6,0,1,570.0,95.0,86.4,6.3,95.0,1.33,4.0,5.0,-1.0,-0.16,5.1,6.5,-1.3,-0.22,-2.16,-0.62,
Yassine Meriah,DF,Tunisia,29,1993,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.33,1.0,1.0,0.0,0.0,2.3,2.8,-0.5,-0.17,,,
Yeltsin Tejeda,MF,Costa Rica,30,1992,3,3,2,0,0,269.0,90.0,99.6,3.0,90.0,1.0,3.0,11.0,-8.0,-2.68,1.4,9.6,-8.2,-2.74,-2.68,43.87,
Yeremi Pino,FW,Spain,20,2002,0,0,0,0,4,,,,,,,,,,,,,,,,,
Yoon Jong-gyu,DF,Korea Republic,24,1998,0,0,0,0,4,,,,,,,,,,,,,,,,,
Youri Tielemans,MF,Belgium,25,1997,3,1,0,2,0,95.0,32.0,35.2,1.1,45.0,1.33,1.0,2.0,-1.0,-0.95,1.6,3.2,-1.6,-1.48,-0.95,-2.37,25.0
Yousef Hassan,GK,Qatar,26,1996,0,0,0,0,3,,,,,,,,,,,,,,,,,
Youssef En-Nesyri,FW,Morocco,25,1997,7,7,2,0,0,542.0,77.0,82.1,6.0,77.0,1.57,4.0,4.0,0.0,0.0,3.7,5.4,-1.7,-0.28,-0.76,-0.94,
Youssef Msakni,MF,Tunisia,32,1990,2,2,1,0,1,169.0,85.0,62.6,1.9,85.0,0.5,0.0,1.0,-1.0,-0.53,1.8,1.8,0.0,-0.01,-1.42,0.41,
Youssouf Fofana,MF,France,23,1999,6,2,1,4,1,227.0,38.0,34.4,2.5,81.0,2.17,5.0,3.0,2.0,0.79,4.0,3.8,0.1,0.05,-0.45,-0.65,16.0
Youssouf Sabaly,DF,Senegal,29,1993,4,4,4,0,0,360.0,90.0,100.0,4.0,90.0,1.5,5.0,7.0,-2.0,-0.5,4.6,3.5,1.0,0.26,,,
Youssoufa Moukoko,FW,Germany,18,2004,1,0,0,1,2,1.0,1.0,0.4,0.0,,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,24.08,-0.33,21.94,1.0
Youstin Salas,DF,Costa Rica,26,1996,2,0,0,2,1,47.0,24.0,17.4,0.5,,1.5,2.0,3.0,-1.0,-1.91,1.1,4.4,-3.3,-6.3,0.91,-4.12,24.0
Yuki Soma,FW,Japan,25,1997,1,1,0,0,3,81.0,81.0,20.8,0.9,81.0,0.0,0.0,1.0,-1.0,-1.11,0.7,0.1,0.6,0.63,-1.69,0.98,
Yunus Musah,MF,United States,20,2002,4,4,3,0,0,343.0,86.0,95.3,3.8,86.0,1.25,3.0,3.0,0.0,0.0,3.9,3.5,0.5,0.12,5.29,4.33,
Yussuf Poulsen,FW,Denmark,28,1994,0,0,0,0,3,,,,,,,,,,,,,,,,,
Yuto Nagatomo,MF,Japan,36,1986,4,4,0,0,0,209.0,52.0,53.6,2.3,52.0,1.75,1.0,3.0,-2.0,-0.86,1.3,3.4,-2.1,-0.89,-2.35,-1.59,
Zakaria Aboukhlal,FW,Morocco,22,2000,4,0,0,4,3,79.0,20.0,12.0,0.9,,2.25,2.0,1.0,1.0,1.14,2.4,2.0,0.4,0.5,1.14,0.69,20.0
Zeno Debast,DF,Belgium,19,2003,0,0,0,0,3,,,,,,,,,,,,,,,,,
Álvaro Morata,FW,Spain,30,1992,4,1,0,3,0,185.0,46.0,47.4,2.1,56.0,1.25,5.0,3.0,2.0,0.97,2.8,2.8,0.0,0.01,-0.78,-1.03,43.0
Álvaro Zamora,MF,Costa Rica,20,2002,1,0,0,1,2,30.0,30.0,11.1,0.3,,0.0,0.0,3.0,-3.0,-9.0,0.0,0.9,-0.9,-2.57,-7.13,0.37,30.0
Ángel Correa,MF,Argentina,27,1995,1,0,0,1,6,5.0,5.0,0.7,0.1,,3.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-1.78,-0.92,-3.18,5.0
Ángel Di María,MF,Argentina,34,1988,5,4,1,1,2,288.0,58.0,41.7,3.2,70.0,1.6,5.0,2.0,3.0,0.94,6.8,0.8,6.0,1.92,0.04,0.91,9.0
Ángel Mena,FW,Ecuador,34,1988,0,0,0,0,3,,,,,,,,,,,,,,,,,
Ángelo Preciado,DF,Ecuador,24,1998,3,3,2,0,0,264.0,88.0,97.8,2.9,88.0,1.33,4.0,3.0,1.0,0.34,3.6,2.5,1.1,0.37,0.34,-0.79,
Éder Militão,DF,Brazil,24,1998,4,4,2,0,1,347.0,87.0,72.3,3.9,87.0,1.75,6.0,1.0,5.0,1.3,9.1,1.5,7.5,1.95,1.3,0.34,
Óscar Duarte,DF,Costa Rica,33,1989,3,3,3,0,0,270.0,90.0,100.0,3.0,90.0,1.0,3.0,11.0,-8.0,-2.67,1.4,10.1,-8.7,-2.9,,,
İlkay GündoÄğan,MF,Germany,32,1990,3,3,0,0,0,189.0,63.0,70.0,2.1,63.0,1.33,2.0,1.0,1.0,0.48,3.6,1.3,2.3,1.1,0.48,-3.74,
Łukasz Skorupski,GK,Poland,,1991,0,0,0,0,4,,,,,,,,,,,,,,,,,