player,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,goals_per_shot_on_target
Cristiano Ronaldo,FW,Portugal,37,1985,3.2,1,10,2,20.0,3.1,0.62,0.0,21.0,2.0,1,1,1.6,0.8,0.08,-0.6,-0.8,0.0
Cyle Larin,FW,Canada,27,1995,1.5,0,3,1,33.3,1.97,0.66,0.0,11.3,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,0.0
César Azpilicueta,DF,Spain,33,1989,1.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
César Montes,DF,Mexico,25,1997,3.0,0,1,0,0.0,0.33,0.0,0.0,13.0,0.0,0,0,0.2,0.2,0.18,-0.2,-0.2,
Daichi Kamada,FW,Japan,26,1996,3.6,0,6,1,16.7,1.68,0.28,0.0,17.5,1.0,0,0,0.6,0.6,0.11,-0.6,-0.6,0.0
Daizen Maeda,FW,Japan,25,1997,2.0,1,2,1,50.0,1.0,0.5,0.5,9.5,0.0,0,0,0.5,0.5,0.24,0.5,0.5,1.0
Daley Blind,DF,Netherlands,32,1990,4.7,1,5,2,40.0,1.06,0.43,0.2,12.3,0.0,0,0,0.4,0.4,0.08,0.6,0.6,0.5
Damian Szymański,MF,Poland,27,1995,0.3,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Dani Alves,DF,Brazil,39,1983,1.3,0,3,0,0.0,2.29,0.0,0.0,21.9,1.0,0,0,0.2,0.2,0.06,-0.2,-0.2,
Dani Carvajal,DF,Spain,30,1992,1.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Dani Olmo,FW,Spain,24,1998,4.1,1,12,6,50.0,2.94,1.47,0.08,21.4,0.0,0,0,1.4,1.4,0.12,-0.4,-0.4,0.17
Daniel Amartey,DF,Ghana,27,1994,2.8,0,1,0,0.0,0.36,0.0,0.0,5.7,0.0,0,0,0.2,0.2,0.23,-0.2,-0.2,
Daniel Chacón,MF,Costa Rica,21,2001,0.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Daniel James,FW,Wales,25,1997,1.7,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Daniel Kyereh,MF,Ghana,26,1996,0.4,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Danilo,DF,Brazil,31,1991,3.1,0,2,0,0.0,0.64,0.0,0.0,27.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,
Danilo Pereira,DF,Portugal,31,1991,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Danny Ward,GK,Wales,29,1993,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Darko Lazovič,DF,Serbia,32,1990,0.3,0,1,0,0.0,3.6,0.0,0.0,27.3,0.0,0,0,0.0,0.0,0.01,0.0,0.0,
Darwin Núñez,FW,Uruguay,23,1999,2.7,0,3,1,33.3,1.13,0.37,0.0,22.4,0.0,0,0,0.4,0.4,0.13,-0.4,-0.4,0.0
David Raum,DF,Germany,24,1998,2.7,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
David Wotherspoon,MF,Canada,32,1990,0.2,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Davy Klaassen,MF,Netherlands,29,1993,2.1,1,2,1,50.0,0.95,0.47,0.5,9.9,0.0,0,0,0.2,0.2,0.12,0.8,0.8,1.0
Dayot Upamecano,DF,France,24,1998,5.3,0,1,0,0.0,0.19,0.0,0.0,9.7,0.0,0,0,0.0,0.0,0.05,0.0,0.0,
DeAndre Yedlin,DF,United States,29,1993,0.4,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Declan Rice,MF,England,23,1999,4.6,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Dejan Lovren,DF,Croatia,33,1989,6.7,0,4,0,0.0,0.6,0.0,0.0,14.8,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,
Denis Odoi,DF,Ghana,34,1988,0.1,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Denis Zakaria,MF,Switzerland,26,1996,0.7,0,1,0,0.0,1.53,0.0,0.0,25.4,0.0,0,0,0.0,0.0,0.05,0.0,0.0,
Denzel Dumfries,DF,Netherlands,26,1996,5.3,1,1,1,100.0,0.19,0.19,1.0,8.7,0.0,0,0,0.4,0.4,0.38,0.6,0.6,1.0
Devis Epassy,GK,Cameroon,29,1993,2.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Diego Godín,DF,Uruguay,36,1986,1.7,0,1,0,0.0,0.6,0.0,0.0,10.6,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,
Diogo Costa,GK,Portugal,23,1999,5.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Diogo Dalot,DF,Portugal,23,1999,2.9,0,1,1,100.0,0.35,0.35,0.0,29.8,0.0,0,0,0.0,0.0,0.04,0.0,0.0,0.0
Djibril Sow,MF,Switzerland,25,1997,2.9,0,2,0,0.0,0.68,0.0,0.0,15.6,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,
Djorkaeff Reasco,FW,Ecuador,23,1999,0.3,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Dominik Livakovič,GK,Croatia,27,1995,7.7,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Dries Mertens,MF,Belgium,35,1987,0.8,0,3,1,33.3,3.55,1.18,0.0,14.7,0.0,0,0,0.8,0.8,0.27,-0.8,-0.8,0.0
Dušan Tadič,MF,Serbia,34,1988,2.9,0,1,0,0.0,0.35,0.0,0.0,13.3,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,
Dušan Vlahovič,FW,Serbia,22,2000,0.9,1,3,3,100.0,3.42,3.42,0.33,10.9,0.0,0,0,0.8,0.8,0.27,0.2,0.2,0.33
Dylan Bronn,DF,Tunisia,27,1995,1.8,0,1,0,0.0,0.56,0.0,0.0,17.8,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Eden Hazard,MF,Belgium,31,1991,1.4,0,1,1,100.0,0.73,0.73,0.0,18.7,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,0.0
Ederson,GK,Brazil,29,1993,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Edimilson Fernandes,FW,Switzerland,26,1996,1.6,0,1,0,0.0,0.62,0.0,0.0,24.2,0.0,0,0,0.0,0.0,0.03,0.0,0.0,
Edinson Cavani,FW,Uruguay,35,1987,1.4,0,3,0,0.0,2.18,0.0,0.0,13.8,0.0,0,0,0.3,0.3,0.1,-0.3,-0.3,
Edouard Mendy,GK,Senegal,30,1992,4.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Edson Álvarez,MF,Mexico,25,1997,1.9,0,1,1,100.0,0.51,0.51,0.0,33.1,0.0,0,0,0.0,0.0,0.02,0.0,0.0,0.0
Eduardo Camavinga,DF,France,20,2002,1.6,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Ehsan Hajsafi,MF,IR Iran,32,1990,2.6,0,1,0,0.0,0.38,0.0,0.0,14.4,0.0,0,0,0.2,0.2,0.16,-0.2,-0.2,
Ellyes Skhiri,MF,Tunisia,27,1995,3.0,0,2,0,0.0,0.67,0.0,0.0,22.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,
Emiliano Martínez,GK,Argentina,30,1992,7.7,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Enner Valencia,FW,Ecuador,33,1989,2.8,3,8,3,37.5,2.82,1.06,0.25,18.9,1.0,1,1,2.3,1.5,0.19,0.7,0.5,0.67
Enzo Ebosse,DF,Cameroon,23,1999,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Enzo Fernández,MF,Argentina,21,2001,6.3,1,8,3,37.5,1.28,0.48,0.13,24.9,0.0,0,0,0.3,0.3,0.04,0.7,0.7,0.33
Eray Cömert,DF,Switzerland,24,1998,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Eric Dier,DF,England,28,1994,0.4,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Eric Maxim Choupo-Moting,FW,Cameroon,33,1989,2.8,1,3,2,66.7,1.07,0.71,0.33,9.1,0.0,0,0,0.8,0.8,0.28,0.2,0.2,0.5
Erick Gutiérrez,MF,Mexico,27,1995,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Ethan Ampadu,MF,Wales,22,2000,2.8,0,1,0,0.0,0.35,0.0,0.0,32.4,0.0,0,0,0.0,0.0,0.04,0.0,0.0,
Everton Ribeiro,MF,Brazil,33,1989,0.4,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Exequiel Palacios,MF,Argentina,24,1998,0.6,0,1,0,0.0,1.8,0.0,0.0,16.3,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Fabian Frei,MF,Switzerland,33,1989,0.3,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Fabian Rieder,FW,Switzerland,20,2002,0.8,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Fabian Schär,DF,Switzerland,30,1991,1.5,0,2,0,0.0,1.33,0.0,0.0,16.7,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Fabinho,MF,Brazil,29,1993,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Facundo Pellistri,MF,Uruguay,20,2001,2.0,0,1,0,0.0,0.5,0.0,0.0,11.5,0.0,0,0,0.2,0.2,0.17,-0.2,-0.2,
Famara Diedhiou,FW,Senegal,30,1992,1.0,1,3,1,33.3,2.93,0.98,0.33,9.1,0.0,0,0,0.2,0.2,0.07,0.8,0.8,1.0
Federico Valverde,MF,Uruguay,24,1998,3.0,0,7,1,14.3,2.33,0.33,0.0,33.0,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2,0.0
Ferjani Sassi,MF,Tunisia,30,1992,0.5,0,1,0,0.0,1.87,0.0,0.0,33.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,
Ferrán Torres,FW,Spain,22,2000,2.4,2,3,1,33.3,1.24,0.41,0.33,17.1,0.0,1,1,1.0,0.2,0.08,1.0,0.8,1.0
Filip Kostič,DF,Serbia,30,1992,2.0,0,1,0,0.0,0.5,0.0,0.0,18.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,
Filip Mladenovič,DF,Serbia,31,1991,0.7,0,1,0,0.0,1.38,0.0,0.0,10.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,
Filip Đuričič,MF,Serbia,30,1992,0.2,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Firas Al-Buraikan,MF,Saudi Arabia,22,2000,3.0,0,2,0,0.0,0.67,0.0,0.0,15.4,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,
Fodé Ballo-Touré,DF,Senegal,25,1997,0.1,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Fran Karačič,DF,Australia,26,1996,1.0,0,3,0,0.0,2.9,0.0,0.0,26.1,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,
Francisco Calvo,DF,Costa Rica,30,1992,2.0,0,1,0,0.0,0.5,0.0,0.0,28.8,0.0,0,0,0.0,0.0,0.01,0.0,0.0,
Fred,MF,Brazil,29,1993,1.6,0,3,1,33.3,1.9,0.63,0.0,18.3,0.0,0,0,0.3,0.3,0.11,-0.3,-0.3,0.0
Frenkie de Jong,MF,Netherlands,25,1997,5.3,1,2,1,50.0,0.38,0.19,0.5,14.2,0.0,0,0,0.9,0.9,0.44,0.1,0.1,1.0
Félix Torres Caicedo,DF,Ecuador,25,1997,3.0,0,1,0,0.0,0.33,0.0,0.0,8.5,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1,
Gabriel Jesus,FW,Brazil,25,1997,1.0,0,2,1,50.0,1.94,0.97,0.0,8.8,0.0,0,0,0.4,0.4,0.18,-0.4,-0.4,0.0
Garang Kuol,FW,Australia,18,2004,0.4,0,1,1,100.0,2.43,2.43,0.0,9.6,0.0,0,0,0.4,0.4,0.38,-0.4,-0.4,0.0
Gareth Bale,FW,Wales,33,1989,2.5,1,1,1,100.0,0.4,0.4,0.0,46.6,0.0,1,1,0.8,0.0,0.02,0.2,0.0,0.0
Gavi,MF,Spain,18,2004,3.2,1,1,1,100.0,0.32,0.32,1.0,17.6,0.0,0,0,0.1,0.1,0.14,0.9,0.9,1.0
Gaël Ondoua,MF,Cameroon,27,1995,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Georges-Kévin N'Koudou,FW,Cameroon,27,1995,0.3,0,1,1,100.0,3.33,3.33,0.0,26.6,1.0,0,0,0.0,0.0,0.04,0.0,0.0,0.0
Germán Pezzella,DF,Argentina,31,1991,0.7,0,1,0,0.0,1.5,0.0,0.0,10.0,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Gerson Torres,MF,Costa Rica,25,1997,0.7,0,1,0,0.0,1.41,0.0,0.0,30.8,0.0,0,0,0.0,0.0,0.01,0.0,0.0,
Ghaylène Chaalali,MF,Tunisia,28,1994,0.2,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Gideon Mensah,DF,Ghana,24,1998,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Gio Reyna,FW,United States,20,2002,0.6,0,2,0,0.0,3.4,0.0,0.0,20.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,
Giorgian De Arrascaeta,MF,Uruguay,28,1994,1.2,2,3,3,100.0,2.5,2.5,0.67,9.6,0.0,0,0,1.2,1.2,0.4,0.8,0.8,0.67
Gleison Bremer,DF,Brazil,25,1997,1.2,0,1,0,0.0,0.83,0.0,0.0,5.5,0.0,0,0,0.2,0.2,0.17,-0.2,-0.2,
Gonzalo Montiel,DF,Argentina,25,1997,1.3,0,1,0,0.0,0.76,0.0,0.0,27.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,
Gonzalo Plata,MF,Ecuador,22,2000,3.0,0,2,1,50.0,0.67,0.33,0.0,15.2,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,0.0
Gonçalo Ramos,FW,Portugal,21,2001,1.7,3,7,5,71.4,4.14,2.96,0.43,11.3,0.0,0,0,1.6,1.6,0.22,1.4,1.4,0.6
Granit Xhaka,MF,Switzerland,30,1992,4.0,0,6,3,50.0,1.5,0.75,0.0,21.6,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,0.0
Gregor Kobel,GK,Switzerland,25,1997,1.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Grzegorz Krychowiak,MF,Poland,32,1990,3.7,0,1,0,0.0,0.27,0.0,0.0,29.9,0.0,0,0,0.0,0.0,0.02,0.0,0.0,
Guido Rodríguez,MF,Argentina,28,1994,0.6,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Guillermo Ochoa,GK,Mexico,37,1985,3.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Guillermo Varela,DF,Uruguay,29,1993,2.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Haji Wright,FW,United States,24,1998,1.5,1,6,2,33.3,3.94,1.31,0.17,13.6,0.0,0,0,0.5,0.5,0.09,0.5,0.5,0.5
Hakim Ziyech,FW,Morocco,29,1993,7.1,1,10,2,20.0,1.42,0.28,0.1,27.2,1.0,0,0,0.4,0.4,0.04,0.6,0.6,0.5
Hannibal Mejbri,MF,Tunisia,19,2003,0.1,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Haris Seferovič,FW,Switzerland,30,1992,0.8,0,1,0,0.0,1.27,0.0,0.0,12.8,0.0,0,0,0.2,0.2,0.19,-0.2,-0.2,
Harry Kane,FW,England,29,1993,4.5,2,10,5,50.0,2.24,1.12,0.1,20.4,0.0,1,2,2.7,1.1,0.11,-0.7,-0.1,0.2
Harry Maguire,DF,England,29,1993,4.8,0,6,1,16.7,1.26,0.21,0.0,10.0,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,0.0
Harry Souttar,DF,Australia,24,1998,4.0,0,1,0,0.0,0.25,0.0,0.0,8.5,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,
Harry Wilson,MF,Wales,25,1997,1.8,0,2,0,0.0,1.13,0.0,0.0,20.9,1.0,0,0,0.1,0.1,0.05,-0.1,-0.1,
Hassan Al Tambakti,DF,Saudi Arabia,23,1999,2.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Hassan Al-Haydos,MF,Qatar,32,1990,2.3,0,1,1,100.0,0.44,0.44,0.0,29.2,0.0,0,0,0.0,0.0,0.01,0.0,0.0,0.0
Hattan Bahebri,MF,Saudi Arabia,30,1992,0.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Henry Martín,FW,Mexico,30,1992,1.6,1,4,2,50.0,2.47,1.23,0.25,9.9,0.0,0,0,0.9,0.9,0.23,0.1,0.1,0.5
Hernán Galíndez,GK,Ecuador,35,1987,3.0,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Hidemasa Morita,MF,Japan,27,1995,3.2,0,3,1,33.3,0.95,0.32,0.0,22.9,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,0.0
Hiroki Ito,DF,Japan,23,1999,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Hiroki Sakai,MF,Japan,32,1990,1.3,0,1,0,0.0,0.76,0.0,0.0,5.4,0.0,0,0,0.5,0.5,0.53,-0.5,-0.5,
Hirving Lozano,FW,Mexico,27,1995,2.8,0,6,3,50.0,2.14,1.07,0.0,26.0,1.0,0,0,0.2,0.2,0.03,-0.2,-0.2,0.0
Homam Ahmed,DF,Qatar,23,1999,2.9,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Hong Chul,DF,Korea Republic,32,1990,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Hossein Hosseini,GK,IR Iran,30,1992,1.8,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Hossein Kanaanizadegan,DF,IR Iran,28,1994,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Hugo Lloris,GK,France,35,1986,6.3,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Hwang Hee-chan,MF,Korea Republic,26,1996,1.3,1,6,5,83.3,4.7,3.91,0.17,17.5,0.0,0,0,0.9,0.9,0.15,0.1,0.1,0.2
Hwang In-beom,MF,Korea Republic,26,1996,3.7,0,6,1,16.7,1.62,0.27,0.0,27.1,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,0.0
Hwang Ui-jo,FW,Korea Republic,30,1992,1.2,0,1,0,0.0,0.85,0.0,0.0,10.5,0.0,0,0,0.5,0.5,0.47,-0.5,-0.5,
Héctor Herrera,MF,Mexico,32,1990,1.8,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Héctor Moreno,DF,Mexico,34,1988,3.0,0,1,0,0.0,0.33,0.0,0.0,5.8,0.0,0,0,0.2,0.2,0.18,-0.2,-0.2,
Ibrahima Konaté,DF,France,23,1999,3.3,0,2,1,50.0,0.61,0.31,0.0,7.7,0.0,0,0,0.4,0.4,0.18,-0.4,-0.4,0.0
Idrissa Gana Gueye,MF,Senegal,33,1989,3.0,0,4,1,25.0,1.33,0.33,0.0,19.6,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3,0.0
Ilias Chair,MF,Morocco,25,1997,0.5,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
Iliman Ndiaye,FW,Senegal,22,2000,1.5,0,2,0,0.0,1.33,0.0,0.0,18.6,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,
Ismail Jakobs,DF,Senegal,23,1999,3.1,0,1,0,0.0,0.32,0.0,0.0,31.0,0.0,0,0,0.0,0.0,0.01,0.0,0.0,
Ismail Mohamad,FW,Qatar,32,1990,1.9,0,2,2,100.0,1.03,1.03,0.0,,,0,0,,,,,,0.0
Ismaila Sarr,FW,Senegal,24,1998,3.8,1,10,1,10.0,2.62,0.26,0.0,16.5,0.0,1,1,1.7,0.9,0.09,-0.7,-0.9,0.0
Ismaël Koné,MF,Canada,20,2002,1.2,0,0,0,,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0,
